datetime,option_symbol,action,order_size,price,pnl,day,type,strike,idx,expiration_date
2024-01-02T14:34:33.626206501Z,SPX   240119C04725000,S,50,65.6,73999.99999999999,2024-01-02,C,4725.0,5,2024-01-19
2024-01-02T14:34:33.626221234Z,SPX   240119C04725000,S,50,65.6,73999.99999999999,2024-01-02,C,4725.0,4,2024-01-19
2024-01-02T14:34:33.626221234Z,SPX   240119C04725000,S,50,65.6,73999.99999999999,2024-01-02,C,4725.0,3,2024-01-19
2024-01-02T14:35:47.285401602Z,SPX   240119C04690000,S,50,89.4,78000.00000000004,2024-01-02,C,4690.0,2,2024-01-19
2024-01-02T16:52:08.446413369Z,SPX   240119C04700000,S,50,83.0,74500.00000000003,2024-01-02,C,4700.0,9,2024-01-19
2024-01-02T16:56:21.984181330Z,SPX   240119C04650000,S,50,123.4,86500.00000000006,2024-01-02,C,4650.0,1,2024-01-19
2024-01-02T16:56:21.984186192Z,SPX   240119C04700000,S,50,83.1,75000.0,2024-01-02,C,4700.0,8,2024-01-19
2024-01-02T16:56:54.276311577Z,SPX   240119C04700000,S,50,83.5,86000.00000000001,2024-01-02,C,4700.0,4,2024-01-19
2024-01-02T16:56:54.280581940Z,SPX   240119C04700000,S,45,83.5,77400.00000000001,2024-01-02,C,4700.0,3,2024-01-19
2024-01-02T17:00:25.835978155Z,SPX   240216C04725000,S,50,110.0,78500.00000000001,2024-01-02,C,4725.0,9,2024-02-16
2024-01-02T17:00:25.835978155Z,SPX   240216C04725000,S,50,110.0,78500.00000000001,2024-01-02,C,4725.0,6,2024-02-16
2024-01-02T17:00:25.835978155Z,SPX   240216C04725000,S,50,110.0,78500.00000000001,2024-01-02,C,4725.0,7,2024-02-16
2024-01-02T17:00:25.835978155Z,SPX   240216C04725000,S,50,110.0,77999.99999999997,2024-01-02,C,4725.0,12,2024-02-16
2024-01-02T17:00:25.835978155Z,SPX   240216C04725000,S,50,110.0,78500.00000000001,2024-01-02,C,4725.0,10,2024-02-16
2024-01-02T17:00:25.835978155Z,SPX   240216C04725000,S,50,110.0,78500.00000000001,2024-01-02,C,4725.0,11,2024-02-16
2024-01-02T17:00:25.835978155Z,SPX   240216C04725000,S,50,110.0,76499.99999999999,2024-01-02,C,4725.0,15,2024-02-16
2024-01-02T17:06:58.659848973Z,SPX   240119C04700000,S,50,83.4,85500.00000000004,2024-01-02,C,4700.0,5,2024-01-19
2024-01-02T17:06:58.659848973Z,SPX   240119C04700000,S,50,83.4,76500.00000000006,2024-01-02,C,4700.0,7,2024-01-19
2024-01-02T17:06:58.659848973Z,SPX   240119C04700000,S,50,83.4,81000.00000000001,2024-01-02,C,4700.0,6,2024-01-19
2024-01-02T17:07:10.628119013Z,SPX   240119C04700000,S,50,83.6,86499.99999999999,2024-01-02,C,4700.0,2,2024-01-19
2024-01-02T17:09:57.072709109Z,SPX   240216C04725000,S,50,109.9,76000.00000000001,2024-01-02,C,4725.0,16,2024-02-16
2024-01-02T17:09:57.072709109Z,SPX   240216C04725000,S,50,109.9,74000.00000000006,2024-01-02,C,4725.0,17,2024-02-16
2024-01-02T17:09:57.072709109Z,SPX   240216C04725000,S,50,109.9,73500.00000000001,2024-01-02,C,4725.0,19,2024-02-16
2024-01-02T17:09:57.072709109Z,SPX   240216C04725000,S,50,109.9,73500.00000000001,2024-01-02,C,4725.0,18,2024-02-16
2024-01-02T17:12:01.773349245Z,SPX   240119C04740000,S,50,56.7,74000.00000000003,2024-01-02,C,4740.0,3,2024-01-19
2024-01-02T17:12:01.773349245Z,SPX   240119C04740000,S,50,56.7,74000.00000000003,2024-01-02,C,4740.0,4,2024-01-19
2024-01-02T17:12:23.372390639Z,SPX   240119C04740000,S,50,56.8,74499.99999999999,2024-01-02,C,4740.0,2,2024-01-19
2024-01-02T17:12:29.104661547Z,SPX   240315C04000000,S,50,787.2,78500.00000000023,2024-01-02,C,4000.0,8,2024-03-15
2024-01-02T17:13:41.211859854Z,SPX   240119C04725000,S,50,65.9,75500.00000000004,2024-01-02,C,4725.0,2,2024-01-19
2024-01-02T17:14:04.279493811Z,SPX   240119C04725000,S,50,66.1,76499.99999999999,2024-01-02,C,4725.0,1,2024-01-19
2024-01-02T17:15:36.569469352Z,SPX   240216C04700000,S,50,127.3,82999.99999999997,2024-01-02,C,4700.0,1,2024-02-16
2024-01-02T17:15:48.453944819Z,SPX   240216C04700000,S,50,127.2,81000.00000000001,2024-01-02,C,4700.0,3,2024-02-16
2024-01-02T17:15:48.453944819Z,SPX   240216C04700000,S,50,127.2,73500.00000000001,2024-01-02,C,4700.0,5,2024-02-16
2024-01-02T17:15:48.453944819Z,SPX   240216C04700000,S,50,127.2,74500.00000000003,2024-01-02,C,4700.0,4,2024-02-16
2024-01-02T17:16:11.218498964Z,SPX   240119C04700000,S,50,83.7,87000.00000000003,2024-01-02,C,4700.0,1,2024-01-19
2024-01-02T17:31:01.240837890Z,SPX   240119C04690000,S,50,89.6,78999.99999999999,2024-01-02,C,4690.0,1,2024-01-19
2024-01-02T17:36:50.419087536Z,SPX   240216C04725000,S,50,110.7,82000.00000000003,2024-01-02,C,4725.0,5,2024-02-16
2024-01-02T17:36:50.452267901Z,SPX   240216C04725000,S,50,110.7,82000.00000000003,2024-01-02,C,4725.0,4,2024-02-16
2024-01-02T17:36:50.452267901Z,SPX   240216C04725000,S,50,110.7,83500.00000000001,2024-01-02,C,4725.0,2,2024-02-16
2024-01-02T17:36:50.452267901Z,SPX   240216C04725000,S,50,110.7,83500.00000000001,2024-01-02,C,4725.0,1,2024-02-16
2024-01-02T17:39:43.347698423Z,SPX   240119C04740000,S,50,57.7,79000.00000000003,2024-01-02,C,4740.0,1,2024-01-19
2024-01-02T17:40:46.961982237Z,SPX   240216C04750000,S,50,95.7,79500.00000000003,2024-01-02,C,4750.0,2,2024-02-16
2024-01-02T17:40:46.961982237Z,SPX   240216C04750000,S,50,95.7,80000.0,2024-01-02,C,4750.0,1,2024-02-16
2024-01-02T17:40:46.961982237Z,SPX   240216C04750000,S,50,95.7,75000.0,2024-01-02,C,4750.0,5,2024-02-16
2024-01-02T17:40:46.961982237Z,SPX   240216C04750000,S,50,95.7,78500.00000000001,2024-01-02,C,4750.0,3,2024-02-16
2024-01-02T17:43:23.574920224Z,SPX   240315C04000000,S,50,789.5,91000.00000000023,2024-01-02,C,4000.0,5,2024-03-15
2024-01-02T17:44:16.277120933Z,SPX   240315C04000000,S,50,789.6,91500.00000000032,2024-01-02,C,4000.0,2,2024-03-15
2024-01-02T17:49:54.215762359Z,SPX   240119P04800000,B,50,65.3,76000.00000000001,2024-01-02,P,4800.0,1,2024-01-19
2024-01-02T17:51:19.270784245Z,SPX   240119C04690000,S,50,88.8,75000.0,2024-01-02,C,4690.0,3,2024-01-19
2024-01-02T20:02:01.568768597Z,SPX   240119C04700000,B,50,68.1,75000.0,2024-01-02,C,4700.0,8,2024-01-19
2024-01-02T20:02:01.568768597Z,SPX   240119C04700000,B,50,68.1,76500.00000000006,2024-01-02,C,4700.0,7,2024-01-19
2024-01-02T20:02:01.568768597Z,SPX   240119C04700000,B,50,68.1,74500.00000000003,2024-01-02,C,4700.0,9,2024-01-19
2024-01-02T20:05:29.958739368Z,SPX   240216C04725000,B,50,94.3,78500.00000000001,2024-01-02,C,4725.0,6,2024-02-16
2024-01-02T20:05:29.958739368Z,SPX   240216C04725000,B,50,94.3,82000.00000000003,2024-01-02,C,4725.0,5,2024-02-16
2024-01-02T20:05:29.958739368Z,SPX   240216C04725000,B,50,94.3,82000.00000000003,2024-01-02,C,4725.0,4,2024-02-16
2024-01-02T20:05:32.159505366Z,SPX   240216C04725000,B,50,94.3,78500.00000000001,2024-01-02,C,4725.0,7,2024-02-16
2024-01-02T20:05:55.165526574Z,SPX   240119C04740000,B,50,41.9,79000.00000000003,2024-01-02,C,4740.0,1,2024-01-19
2024-01-02T20:05:55.165526574Z,SPX   240119C04740000,B,50,41.9,74499.99999999999,2024-01-02,C,4740.0,2,2024-01-19
2024-01-02T20:05:55.165526574Z,SPX   240119C04740000,B,50,41.9,74000.00000000003,2024-01-02,C,4740.0,3,2024-01-19
2024-01-02T20:05:55.165792050Z,SPX   240119C04740000,B,50,41.9,74000.00000000003,2024-01-02,C,4740.0,4,2024-01-19
2024-01-02T20:05:55.166112809Z,SPX   240119P04800000,S,50,80.5,76000.00000000001,2024-01-02,P,4800.0,1,2024-01-19
2024-01-02T20:05:55.166112809Z,SPX   240119P04800000,S,50,80.5,73999.99999999999,2024-01-02,P,4800.0,2,2024-01-19
2024-01-02T20:06:10.248028374Z,SPX   240119C04700000,B,50,66.3,87000.00000000003,2024-01-02,C,4700.0,1,2024-01-19
2024-01-02T20:06:10.248028374Z,SPX   240119C04700000,B,45,66.3,77400.00000000001,2024-01-02,C,4700.0,3,2024-01-19
2024-01-02T20:06:10.248028374Z,SPX   240119C04700000,B,50,66.3,86499.99999999999,2024-01-02,C,4700.0,2,2024-01-19
2024-01-02T20:06:10.248028374Z,SPX   240119C04700000,B,50,66.3,86000.00000000001,2024-01-02,C,4700.0,4,2024-01-19
