datetime,option_symbol,action,order_size
2024-01-02T20:51:55.295389518Z,SPX   241220C04000000,S,37
2024-01-02T20:47:38.971421974Z,SPX   241220C04000000,B,37
2024-01-02T20:08:54.236189805Z,SPX   240621P04300000,S,50
2024-01-02T18:49:34.268285863Z,SPX   240621P04300000,B,50
2024-01-02T16:55:16.811967114Z,SPX   240621C04600000,S,50
2024-01-02T15:37:49.400985492Z,SPX   240621C04600000,B,50
2024-01-02T16:03:34.286244905Z,SPX   240621C04200000,S,48
2024-01-02T15:38:28.567791219Z,SPX   240621C04200000,B,48
2024-01-02T20:58:51.144668775Z,SPX   240119C04900000,S,50
2024-01-02T20:39:27.016801586Z,SPX   240119C04900000,B,50
2024-01-02T16:40:35.748409910Z,SPX   240119C04600000,S,40
2024-01-02T15:37:41.346574338Z,SPX   240119C04600000,B,40
2024-01-02T17:10:36.560054081Z,SPX   240119C03300000,S,36
2024-01-02T15:30:56.917422232Z,SPX   240119C03300000,B,36
2024-01-02T20:46:23.621033402Z,SPX   240119C04500000,S,15
2024-01-02T20:06:28.183745146Z,SPX   240119C04500000,B,15
2024-01-02T21:06:35.974365632Z,SPX   240119C04000000,S,15
2024-01-02T20:43:36.103600332Z,SPX   240119C04000000,B,15
2024-01-02T19:33:30.771249107Z,SPX   240315P04625000,S,50
2024-01-02T17:30:14.391480762Z,SPX   240315P04625000,B,50
2024-01-02T21:17:15.879698261Z,SPX   240315C04900000,S,50
2024-01-02T20:18:18.287350360Z,SPX   240315C04900000,B,50
2024-01-02T21:01:03.645598792Z,SPX   240315P04750000,S,50
2024-01-02T17:36:42.026098478Z,SPX   240315P04750000,B,50
2024-01-02T20:51:38.674012084Z,SPX   240315C04550000,S,20
2024-01-02T14:56:47.948524672Z,SPX   240315C04550000,B,20
2024-01-02T20:58:34.015864260Z,SPX   240216C04000000,S,30
2024-01-02T20:14:55.091054593Z,SPX   240216C04000000,B,30
2024-01-02T19:55:23.494307856Z,SPX   240216P04425000,S,50
2024-01-02T18:27:54.210177932Z,SPX   240216P04425000,B,50
2024-01-02T20:50:04.351862312Z,SPX   240216C04900000,S,50
2024-01-02T20:30:18.703755660Z,SPX   240216C04900000,B,50
2024-01-02T16:50:47.741004815Z,SPX   240216C04625000,S,50
2024-01-02T16:06:00.271043565Z,SPX   240216C04625000,B,50
2024-01-02T20:17:49.511403788Z,SPX   240216C04725000,S,50
2024-01-02T20:07:29.727098314Z,SPX   240216C04725000,B,50
2024-01-02T20:56:32.836399584Z,SPX   240315P04725000,S,50
2024-01-02T17:55:18.397579247Z,SPX   240315P04725000,B,50
2024-01-02T19:08:33.933241887Z,SPX   240419P04500000,S,50
2024-01-02T17:12:07.916682450Z,SPX   240419P04500000,B,50
2024-01-02T20:36:11.500696679Z,SPX   240419P04375000,S,50
2024-01-02T19:13:08.148338316Z,SPX   240419P04375000,B,50
2024-01-02T20:35:53.451278267Z,SPX   240419P04175000,S,50
2024-01-02T18:30:51.714898245Z,SPX   240419P04175000,B,50
2024-01-02T17:58:23.009196085Z,SPX   240517P04600000,S,39
2024-01-02T17:36:22.386190571Z,SPX   240517P04600000,B,39
2024-01-02T20:12:56.230868592Z,SPX   240517P04375000,S,50
2024-01-02T18:52:45.578765094Z,SPX   240517P04375000,B,50
2024-01-02T20:11:44.491619665Z,SPX   240517P04550000,S,41
2024-01-02T18:17:46.366284755Z,SPX   240517P04550000,B,41
2024-01-02T15:17:47.898354631Z,SPX   240621C04725000,S,40
2024-01-02T14:47:34.593646740Z,SPX   240621C04725000,B,40
2024-01-02T21:04:35.370138904Z,SPX   240621C05100000,S,50
2024-01-02T20:06:42.229526454Z,SPX   240621C05100000,B,50
2024-01-02T20:43:38.545732875Z,SPX   240719P04325000,S,50
2024-01-02T18:00:21.149132420Z,SPX   240719P04325000,B,50
2024-01-02T19:27:47.289532852Z,SPX   240719P04500000,S,50
2024-01-02T18:44:18.703981741Z,SPX   240719P04500000,B,50
2024-01-02T19:59:55.819579160Z,SPX   240719P04600000,S,20
2024-01-02T18:15:12.346796064Z,SPX   240719P04600000,B,20
2024-01-02T20:54:21.702086192Z,SPX   240719P04725000,S,21
2024-01-02T16:46:23.615175836Z,SPX   240719P04725000,B,21
2024-01-02T20:18:17.958003375Z,SPX   240719P04575000,S,50
2024-01-02T17:02:35.446029281Z,SPX   240719P04575000,B,50
2024-01-02T20:02:58.875302688Z,SPX   240719P04000000,S,50
2024-01-02T16:46:25.970870909Z,SPX   240719P04000000,B,50
2024-01-02T20:46:24.046028571Z,SPX   240719P04275000,S,50
2024-01-02T16:45:27.468411371Z,SPX   240719P04275000,B,50
2024-01-02T20:51:03.250187213Z,SPX   240920P04525000,S,50
2024-01-02T17:54:26.266545340Z,SPX   240920P04525000,B,50
2024-01-02T20:45:08.263847501Z,SPX   240920P04700000,S,50
2024-01-02T16:38:42.220430087Z,SPX   240920P04700000,B,50
2024-01-02T19:10:16.149500187Z,SPX   240920P04225000,S,50
2024-01-02T18:27:36.636069833Z,SPX   240920P04225000,B,50
2024-01-02T16:17:39.312259187Z,SPX   240816C04825000,S,50
2024-01-02T15:41:50.358053333Z,SPX   240816C04825000,B,50
2024-01-02T17:29:24.495079978Z,SPX   240119C04470000,S,50
2024-01-02T15:37:48.228369964Z,SPX   240119C04470000,B,50
2024-01-02T20:55:58.566691780Z,SPX   240216C04975000,S,50
2024-01-02T20:07:26.479836905Z,SPX   240216C04975000,B,50
2024-01-02T20:51:34.919425942Z,SPX   240119P04720000,S,50
2024-01-02T18:34:46.536263561Z,SPX   240119P04720000,B,50
2024-01-02T20:56:01.429143213Z,SPX   240119C04830000,S,50
2024-01-02T20:13:00.960123624Z,SPX   240119C04830000,B,50
2024-01-02T21:01:31.053228004Z,SPX   240119C04870000,S,50
2024-01-02T20:49:06.638562526Z,SPX   240119C04870000,B,50
2024-01-02T18:53:59.138075972Z,SPX   240119P04760000,S,50
2024-01-02T17:03:05.531759409Z,SPX   240119P04760000,B,50
2024-01-02T18:54:20.287790208Z,SPX   240216P04740000,S,50
2024-01-02T17:03:10.631484144Z,SPX   240216P04740000,B,50
2024-01-02T20:04:34.377621033Z,SPX   240216P04580000,S,50
2024-01-02T17:14:59.193768488Z,SPX   240216P04580000,B,50
2024-01-02T19:59:02.814508472Z,SPX   240216P04460000,S,50
2024-01-02T16:48:37.601571223Z,SPX   240216P04460000,B,50
2024-01-02T20:51:49.505866802Z,SPX   240216C04780000,S,50
2024-01-02T20:04:01.688713013Z,SPX   240216C04780000,B,50
2024-01-02T20:41:06.011931768Z,SPX   241018P04800000,S,50
2024-01-02T18:52:14.064332701Z,SPX   241018P04800000,B,50
2024-01-02T14:50:57.064012717Z,SPX   250117P04775000,S,40
2024-01-02T14:34:35.116134258Z,SPX   250117P04775000,B,40
2024-01-02T20:34:17.495707617Z,SPX   240315P04340000,S,50
2024-01-02T18:30:51.714883677Z,SPX   240315P04340000,B,50
2024-01-02T17:16:56.685670183Z,SPX   240315C04740000,S,30
2024-01-02T16:02:14.055789901Z,SPX   240315C04740000,B,30
2024-01-02T18:07:50.089600827Z,SPX   240119C04535000,S,17
2024-01-02T14:57:13.428930806Z,SPX   240119C04535000,B,17
2024-01-02T20:58:32.460980492Z,SPX   240315P04770000,S,30
2024-01-02T17:01:13.521598276Z,SPX   240315P04770000,B,30
2024-01-02T19:50:56.624244166Z,SPX   241220P04675000,S,50
2024-01-02T18:26:14.387997826Z,SPX   241220P04675000,B,50
2024-01-02T18:02:27.607149983Z,SPX   241220P04325000,S,50
2024-01-02T17:43:22.486624955Z,SPX   241220P04325000,B,50
2024-01-02T16:26:33.402015059Z,SPX   241220C04850000,S,50
2024-01-02T15:32:22.102614865Z,SPX   241220C04850000,B,50
2024-01-02T20:30:20.517487471Z,SPX   240216P04555000,S,50
2024-01-02T18:12:16.400663487Z,SPX   240216P04555000,B,50
2024-01-02T19:03:57.583349531Z,SPX   240119P04605000,S,13
2024-01-02T17:46:17.333957280Z,SPX   240119P04605000,B,13
2024-01-02T20:34:58.315569007Z,SPX   240517P05050000,S,25
2024-01-02T16:49:30.711907193Z,SPX   240517P05050000,B,25
2024-01-02T16:50:47.741014918Z,SPX   240216C04685000,S,30
2024-01-02T15:58:28.956928807Z,SPX   240216C04685000,B,30
2024-01-02T20:08:46.288763303Z,SPX   240119P04695000,S,50
2024-01-02T18:37:25.035115058Z,SPX   240119P04695000,B,50
2024-01-02T17:54:57.104648461Z,SPX   240216P04645000,S,7
2024-01-02T17:47:13.871779536Z,SPX   240216P04645000,B,7
2024-01-02T20:51:45.548179586Z,SPX   240119C04805000,S,50
2024-01-02T20:49:47.373402227Z,SPX   240119C04805000,B,50
2024-01-02T19:40:55.210923010Z,SPX   240315P04715000,S,30
2024-01-02T16:45:38.361535291Z,SPX   240315P04715000,B,30
2024-01-02T17:12:38.759385110Z,SPX   240621C05175000,S,1
2024-01-02T16:41:45.348835224Z,SPX   240621C05175000,B,1
2024-01-02T18:58:24.853048461Z,SPX   240315P04785000,S,50
2024-01-02T18:36:25.953757707Z,SPX   240315P04785000,B,50
2024-01-02T15:04:00.352252919Z,SPX   240216C04765000,S,26
2024-01-02T14:44:35.256652208Z,SPX   240216C04765000,B,26
2024-01-02T18:24:22.093393152Z,SPX   240419P04765000,S,50
2024-01-02T17:36:34.339468757Z,SPX   240419P04765000,B,50
2024-01-02T17:00:52.356588758Z,SPX   251219C05000000,S,50
2024-01-02T16:00:57.085392896Z,SPX   251219C05000000,B,50
2024-01-02T18:27:27.257450658Z,SPX   241220P05000000,S,50
2024-01-02T17:41:52.777828793Z,SPX   241220P05000000,B,50
2024-01-02T20:01:37.888043217Z,SPX   241220P03900000,S,50
2024-01-02T18:38:33.909952014Z,SPX   241220P03900000,B,50
2024-01-02T20:52:42.431623958Z,SPX   240621P04325000,S,40
2024-01-02T17:12:17.431070408Z,SPX   240621P04325000,B,40
2024-01-02T20:39:11.776140555Z,SPX   240621P04050000,S,50
2024-01-02T18:30:51.714906961Z,SPX   240621P04050000,B,50
2024-01-02T20:59:31.643554864Z,SPX   240621C05000000,S,32
2024-01-02T20:36:16.780151404Z,SPX   240621C05000000,B,32
2024-01-02T19:12:24.827316832Z,SPX   240119P04600000,S,1
2024-01-02T18:49:40.519793052Z,SPX   240119P04600000,B,1
2024-01-02T20:00:33.833785629Z,SPX   240315P04450000,S,50
2024-01-02T16:56:50.396630367Z,SPX   240315P04450000,B,50
2024-01-02T20:52:17.495912205Z,SPX   240315C04800000,S,29
2024-01-02T20:37:07.379565764Z,SPX   240315C04800000,B,29
2024-01-02T20:50:18.952699181Z,SPX   240119C04850000,S,50
2024-01-02T20:05:38.084330326Z,SPX   240119C04850000,B,50
2024-01-02T20:25:56.437336691Z,SPX   240216P04275000,S,50
2024-01-02T18:37:37.457374330Z,SPX   240216P04275000,B,50
2024-01-02T20:36:09.462027634Z,SPX   240216P04625000,S,50
2024-01-02T17:14:50.253264648Z,SPX   240216P04625000,B,50
2024-01-02T17:25:07.901809772Z,SPX   240315P04675000,S,45
